model_name,student,teacher,objective,learning_rate,step,max_model_len,n_attempts,tb21_pass@1,tb21_n_errored,tb21_n_tasks,tb21_beaker_url,tblite_pass@1,tblite_n_errored,tblite_n_tasks,tblite_beaker_url,opd_reverse_kl,train_scores,wandb_url,train_beaker_url,notes
opd-4b-base-from-tmax4b-lr5e7,hamishivi/Qwen3.5-4B,allenai/tmax-4b,pure_opd,5e-7,40,65536,1,0.16853932584269662,12,89,https://beaker.org/ex/01KZC9REDCD6EXMA93S72ZEQ0P,0.44,16,100,https://beaker.org/ex/01KZC9RPTYDC2E9Q4DT2BW2985,0.0478,0.5456,https://wandb.ai/ai2-llm/oe-general-agents/runs/zjfcsx10,https://beaker.org/ex/01KZARWGGB69M3CB957WFXBX6Z,
opd-4b-base-from-tmax4b-lr5e7,hamishivi/Qwen3.5-4B,allenai/tmax-4b,pure_opd,5e-7,60,65536,1,0.19101123595505617,17,89,https://beaker.org/ex/01KZC9RZ96AHDJNJGPX6WB5QP5,0.43,15,100,https://beaker.org/ex/01KZC9S7QZNMH78AN7YVYZFRE9,0.0281,0.6267,https://wandb.ai/ai2-llm/oe-general-agents/runs/zjfcsx10,https://beaker.org/ex/01KZARWGGB69M3CB957WFXBX6Z,
opd-4b-base-from-tmax4b-lr5e7,hamishivi/Qwen3.5-4B,allenai/tmax-4b,pure_opd,5e-7,80,65536,1,0.16853932584269662,13,89,https://beaker.org/ex/01KZC9SGMP9YGNFDA3WND27EDR,0.43,15,100,https://beaker.org/ex/01KZC9SS885YGF1S5EPYXMFW29,0.0179,0.5599,https://wandb.ai/ai2-llm/oe-general-agents/runs/zjfcsx10,https://beaker.org/ex/01KZARWGGB69M3CB957WFXBX6Z,
opd-4b-base-from-tmax4b-lr5e7,hamishivi/Qwen3.5-4B,allenai/tmax-4b,pure_opd,5e-7,100,65536,1,0.20224719101123595,14,89,https://beaker.org/ex/01KZC9T1GBC4H6EGG32ZHGDSME,0.43,14,100,https://beaker.org/ex/01KZC9T9Q89QYHDNSFRZ8ZGPN3,0.0158,0.6519,https://wandb.ai/ai2-llm/oe-general-agents/runs/zjfcsx10,https://beaker.org/ex/01KZARWGGB69M3CB957WFXBX6Z,
opd-4b-base-from-tmax9b,hamishivi/Qwen3.5-4B,allenai/tmax-9b,pure_opd,1e-6,20,65536,1,0.1797752808988764,21,89,https://beaker.org/ex/01KZ9RBHQ8X3N8PTDTVE9NWM3Q,0.41,17,100,https://beaker.org/ex/01KZ9RBV7DVB3VP83BNC6SY6KN,0.1279,0.674,https://wandb.ai/ai2-llm/oe-general-agents/runs/vjgol9zb,https://beaker.org/ex/01KZ7NG1T4WR7NJMTVDYBBDZBN,
opd-4b-base-from-tmax9b,hamishivi/Qwen3.5-4B,allenai/tmax-9b,pure_opd,1e-6,40,65536,1,0.20224719101123595,17,89,https://beaker.org/ex/01KZ9QE7JS5DR556ZP3J0M1WYW,0.47,11,100,https://beaker.org/ex/01KZ9QEH1DQS3R0S9F4JB8439A,0.1108,0.6654,https://wandb.ai/ai2-llm/oe-general-agents/runs/vjgol9zb,https://beaker.org/ex/01KZ7NG1T4WR7NJMTVDYBBDZBN,
opd-4b-base-from-tmax9b,hamishivi/Qwen3.5-4B,allenai/tmax-9b,pure_opd,1e-6,60,65536,1,0.19101123595505617,25,89,https://beaker.org/ex/01KZ9RC4JZQYMTNP4KC1N21CHR,0.49,14,100,https://beaker.org/ex/01KZ9RCE03RVF8T0NY78S5YWX1,0.1035,0.5898,https://wandb.ai/ai2-llm/oe-general-agents/runs/vjgol9zb,https://beaker.org/ex/01KZ7NG1T4WR7NJMTVDYBBDZBN,
opd-4b-base-from-tmax9b,hamishivi/Qwen3.5-4B,allenai/tmax-9b,pure_opd,1e-6,80,65536,1,0.15730337078651685,25,89,https://beaker.org/ex/01KZ9QETCVFEMT1HXKD5Q8Y7RF,0.43,16,100,https://beaker.org/ex/01KZ9QF8H3CHY5KTPJD2FGQNZS,0.0984,0.6671,https://wandb.ai/ai2-llm/oe-general-agents/runs/vjgol9zb,https://beaker.org/ex/01KZ7NG1T4WR7NJMTVDYBBDZBN,
opd-4b-base-from-tmax9b,hamishivi/Qwen3.5-4B,allenai/tmax-9b,pure_opd,1e-6,120,65536,1,0.1348314606741573,29,89,https://beaker.org/ex/01KZB7B1JNTQFDTKWB7DD4EV2P,0.46,14,100,https://beaker.org/ex/01KZB7BAVHC91R5E1C5RH0PGM2,0.0949,0.6953,https://wandb.ai/ai2-llm/oe-general-agents/runs/vjgol9zb,https://beaker.org/ex/01KZ7NG1T4WR7NJMTVDYBBDZBN,
opd-4b-base-from-tmax9b,hamishivi/Qwen3.5-4B,allenai/tmax-9b,pure_opd,1e-6,160,65536,1,0.1797752808988764,21,89,https://beaker.org/ex/01KZB7BM7DR6Q2780AK52QC5PW,0.46,15,100,https://beaker.org/ex/01KZB7BXMM97E7HB6W9D2Z2934,0.1086,0.7287,https://wandb.ai/ai2-llm/oe-general-agents/runs/vjgol9zb,https://beaker.org/ex/01KZ7NG1T4WR7NJMTVDYBBDZBN,
opd-4b-base-from-tmax9b,hamishivi/Qwen3.5-4B,allenai/tmax-9b,pure_opd,1e-6,220,65536,1,0.1797752808988764,18,89,https://beaker.org/ex/01KZB7C7H1YX2Y036MBS0ZBBSS,0.43,10,100,https://beaker.org/ex/01KZB7CHATGNCRBJ3F8Q1J87V3,0.0961,0.6688,https://wandb.ai/ai2-llm/oe-general-agents/runs/vjgol9zb,https://beaker.org/ex/01KZ7NG1T4WR7NJMTVDYBBDZBN,
opd-9b-base-from-tmax9b,hamishivi/Qwen3.5-9B,allenai/tmax-9b,pure_opd,1e-6,20,65536,1,0.21348314606741572,12,89,https://beaker.org/ex/01KZ4YQPHVKCSBTTXSMNMH59Y3,0.51,13,100,https://beaker.org/ex/01KZ4YQZBV5NF4H2KTN47WMSND,0.0408,0.7908,https://wandb.ai/ai2-llm/oe-general-agents/runs/6kyg0v64,https://beaker.org/ex/01KZ416DRVGXQVXRYYEA1EVJ2X,
opd-9b-base-from-tmax9b,hamishivi/Qwen3.5-9B,allenai/tmax-9b,pure_opd,1e-6,40,65536,1,0.2808988764044944,16,89,https://beaker.org/ex/01KZ4YR85K374WW92XAN62AJG8,0.58,7,100,https://beaker.org/ex/01KZ4YRGX7VEJ1VEK7PRQZEQYT,0.0151,0.8173,https://wandb.ai/ai2-llm/oe-general-agents/runs/6kyg0v64,https://beaker.org/ex/01KZ416DRVGXQVXRYYEA1EVJ2X,
opd-9b-base-from-tmax9b,hamishivi/Qwen3.5-9B,allenai/tmax-9b,pure_opd,1e-6,60,65536,1,0.29213483146067415,23,89,https://beaker.org/ex/01KZ54P04CM4BP961FMVG3KWZQ,0.54,6,100,https://beaker.org/ex/01KZ54P909WAEJSVR2KYQKR0MB,0.01,0.7474,https://wandb.ai/ai2-llm/oe-general-agents/runs/6kyg0v64,https://beaker.org/ex/01KZ416DRVGXQVXRYYEA1EVJ2X,
opd-9b-base-from-tmax9b,hamishivi/Qwen3.5-9B,allenai/tmax-9b,pure_opd,1e-6,80,65536,1,0.23595505617977527,16,89,https://beaker.org/ex/01KZ6A9KKE1WFK1NS7R0605RNS,0.54,13,100,https://beaker.org/ex/01KZ6AD681C1AK3VQS3SDAWZH5,0.007,0.7118,https://wandb.ai/ai2-llm/oe-general-agents/runs/6kyg0v64,https://beaker.org/ex/01KZ416DRVGXQVXRYYEA1EVJ2X,
opd-9b-base-from-tmax9b,hamishivi/Qwen3.5-9B,allenai/tmax-9b,pure_opd,1e-6,100,65536,1,0.25842696629213485,23,89,https://beaker.org/ex/01KZ6ADF2J5B4G04CZ8SXE165A,0.56,13,100,https://beaker.org/ex/01KZ6ADQRZZ0EBAXN490ZBF939,0.0057,0.6992,https://wandb.ai/ai2-llm/oe-general-agents/runs/6kyg0v64,https://beaker.org/ex/01KZ416DRVGXQVXRYYEA1EVJ2X,
opd-9b-base-from-tmax9b,hamishivi/Qwen3.5-9B,allenai/tmax-9b,pure_opd,1e-6,120,65536,1,0.25842696629213485,22,89,https://beaker.org/ex/01KZ6AE0N7868J9B0D2FJ1XNY3,0.55,12,100,https://beaker.org/ex/01KZ6AE9FST1T8E0K2MM6JASR8,0.0055,0.8051,https://wandb.ai/ai2-llm/oe-general-agents/runs/6kyg0v64,https://beaker.org/ex/01KZ416DRVGXQVXRYYEA1EVJ2X,
opd-plus-reward-9b-base-from-tmax9b,hamishivi/Qwen3.5-9B,allenai/tmax-9b,opd+binary_reward,1e-6,40,65536,1,0.2247191011235955,21,89,https://beaker.org/ex/01KZDPPP01X2SE4T6SV30W7XEF,0.59,9,100,https://beaker.org/ex/01KZDPPY88YBM3KCQ2AF65004R,0.0129,0.7227,https://wandb.ai/ai2-llm/oe-general-agents/runs/4j0sjmii,https://beaker.org/ex/01KZB7NRW4B95ZY27J34NEKQ19,
opd-plus-reward-9b-base-from-tmax9b,hamishivi/Qwen3.5-9B,allenai/tmax-9b,opd+binary_reward,1e-6,80,65536,1,0.2696629213483146,23,89,https://beaker.org/ex/01KZDPQ7DVD71DS10S7SRZVBCP,0.53,15,100,https://beaker.org/ex/01KZDPQH8N29KA9HB180A7Z71J,0.0115,0.7444,https://wandb.ai/ai2-llm/oe-general-agents/runs/4j0sjmii,https://beaker.org/ex/01KZB7NRW4B95ZY27J34NEKQ19,
opd-plus-reward-9b-base-from-tmax9b,hamishivi/Qwen3.5-9B,allenai/tmax-9b,opd+binary_reward,1e-6,120,65536,1,0.25842696629213485,22,89,https://beaker.org/ex/01KZDPQSPJ8X4Z7Z0ZXD01GTRH,0.57,12,100,https://beaker.org/ex/01KZDPR2M007TFWJEFMRWKDG7T,0.0068,0.7622,https://wandb.ai/ai2-llm/oe-general-agents/runs/4j0sjmii,https://beaker.org/ex/01KZB7NRW4B95ZY27J34NEKQ19,
opd-plus-reward-9b-base-from-tmax9b,hamishivi/Qwen3.5-9B,allenai/tmax-9b,opd+binary_reward,1e-6,160,65536,1,0.2808988764044944,27,89,https://beaker.org/ex/01KZDPRB200E247YWW7A74QNW2,0.54,18,100,https://beaker.org/ex/01KZDPRKZACRJE346GDY7ADHY0,0.0073,0.7188,https://wandb.ai/ai2-llm/oe-general-agents/runs/4j0sjmii,https://beaker.org/ex/01KZB7NRW4B95ZY27J34NEKQ19,
opd-plus-reward-9b-base-from-tmax9b,hamishivi/Qwen3.5-9B,allenai/tmax-9b,opd+binary_reward,1e-6,200,65536,1,0.25842696629213485,15,89,https://beaker.org/ex/01KZEXXPHPGVX9MQT6JN801XZR,0.55,14,100,https://beaker.org/ex/01KZEXXZ5GGAPD0B2T6044V15T,0.0115,0.6641,https://wandb.ai/ai2-llm/oe-general-agents/runs/4j0sjmii,https://beaker.org/ex/01KZB7NRW4B95ZY27J34NEKQ19,
opd-plus-reward-9b-base-from-tmax9b,hamishivi/Qwen3.5-9B,allenai/tmax-9b,opd+binary_reward,1e-6,240,65536,1,0.25842696629213485,25,89,https://beaker.org/ex/01KZEXYBGF3A1YDYDT4BQB15AW,0.56,16,100,https://beaker.org/ex/01KZEXYQ648E8EZHR1Y8RJH3EM,0.0097,0.7817,https://wandb.ai/ai2-llm/oe-general-agents/runs/4j0sjmii,https://beaker.org/ex/01KZB7NRW4B95ZY27J34NEKQ19,
opd-plus-reward-9b-base-from-tmax9b,hamishivi/Qwen3.5-9B,allenai/tmax-9b,opd+binary_reward,1e-6,260,65536,1,0.19101123595505617,25,89,https://beaker.org/ex/01KZEXZ3FH1W80WMXE00H4Y2YX,0.54,15,100,https://beaker.org/ex/01KZEXZFGHQAMRZS5HX968PS86,0.0094,0.7109,https://wandb.ai/ai2-llm/oe-general-agents/runs/4j0sjmii,https://beaker.org/ex/01KZB7NRW4B95ZY27J34NEKQ19,
opd-tmax4b-from-tmax27b,allenai/tmax-4b,allenai/tmax-27b,pure_opd,1e-6,20,65536,1,0.16853932584269662,20,89,https://beaker.org/ex/01KZ5HVPYFG0D7EE4HKTDJ20QB,0.31,6,100,https://beaker.org/ex/01KZ5HVZQN17552GTNARVCK391,0.2238,0.6033,https://wandb.ai/ai2-llm/oe-general-agents/runs/y21h9tws,https://beaker.org/ex/01KZ514J1F2Y1QGN7D1HX06GX4,
opd-tmax4b-from-tmax27b,allenai/tmax-4b,allenai/tmax-27b,pure_opd,1e-6,40,65536,1,0.1348314606741573,20,89,https://beaker.org/ex/01KZ6A9WDM3W0X5AKCFB6ZZJ9Z,0.39,12,100,https://beaker.org/ex/01KZ6AEJ9RM7AF0A39F97TNS50,0.2017,0.6619,https://wandb.ai/ai2-llm/oe-general-agents/runs/y21h9tws,https://beaker.org/ex/01KZ514J1F2Y1QGN7D1HX06GX4,
opd-tmax4b-from-tmax27b,allenai/tmax-4b,allenai/tmax-27b,pure_opd,1e-6,60,65536,1,0.14606741573033707,23,89,https://beaker.org/ex/01KZ7AMMDNGZS4ZSFGJSV1K8MY,0.42,12,100,https://beaker.org/ex/01KZ7AMY0RA5KYKJKAXM34GSPB,0.208,0.6259,https://wandb.ai/ai2-llm/oe-general-agents/runs/y21h9tws,https://beaker.org/ex/01KZ514J1F2Y1QGN7D1HX06GX4,
opd-tmax4b-from-tmax27b,allenai/tmax-4b,allenai/tmax-27b,pure_opd,1e-6,80,65536,1,0.1797752808988764,17,89,https://beaker.org/ex/01KZ7AN76XH7QEGSV727HTY6RY,0.38,13,100,https://beaker.org/ex/01KZ7ANG9W6QE84CCF8YJJX6MK,0.2002,0.681,https://wandb.ai/ai2-llm/oe-general-agents/runs/y21h9tws,https://beaker.org/ex/01KZ514J1F2Y1QGN7D1HX06GX4,
opd-tmax4b-from-tmax27b,allenai/tmax-4b,allenai/tmax-27b,pure_opd,1e-6,120,65536,1,0.19101123595505617,13,89,https://beaker.org/ex/01KZ7JB0ZNN8WM328SA2T8H7MF,0.45,11,100,https://beaker.org/ex/01KZ7JBA1CMS4S1Z86C5PK14QD,0.1864,0.7075,https://wandb.ai/ai2-llm/oe-general-agents/runs/y21h9tws,https://beaker.org/ex/01KZ514J1F2Y1QGN7D1HX06GX4,
opd-tmax4b-from-tmax27b,allenai/tmax-4b,allenai/tmax-27b,pure_opd,1e-6,160,65536,1,0.19101123595505617,18,89,https://beaker.org/ex/01KZ9Q4HWAZT3SWHC3GV33FDKD,0.37,13,100,https://beaker.org/ex/01KZ9Q4V6AA60FW9E9JMJ8D88Z,0.1747,0.6319,https://wandb.ai/ai2-llm/oe-general-agents/runs/y21h9tws,https://beaker.org/ex/01KZ514J1F2Y1QGN7D1HX06GX4,
opd-tmax4b-from-tmax27b,allenai/tmax-4b,allenai/tmax-27b,pure_opd,1e-6,180,65536,1,0.20224719101123595,18,89,https://beaker.org/ex/01KZ9Q54WNEHB8AAANJYFZ484Z,0.44,14,100,https://beaker.org/ex/01KZ9Q5E3K35JPT06M968YQ2Q0,0.1715,0.6185,https://wandb.ai/ai2-llm/oe-general-agents/runs/y21h9tws,https://beaker.org/ex/01KZ514J1F2Y1QGN7D1HX06GX4,
opd-tmax4b-from-tmax9b,allenai/tmax-4b,allenai/tmax-9b,pure_opd,1e-6,20,65536,1,0.15730337078651685,15,89,https://beaker.org/ex/01KZB6KSVNBHKVHKXGRNCGDDPW,0.41,10,100,https://beaker.org/ex/01KZB6M3N2Q6XKY0MXD8676H17,0.1241,0.6801,https://wandb.ai/ai2-llm/oe-general-agents/runs/v6scz2v2,https://beaker.org/ex/01KZ7NVE4N4CJ1QX948933FX4F,
opd-tmax4b-from-tmax9b,allenai/tmax-4b,allenai/tmax-9b,pure_opd,1e-6,40,65536,1,0.1797752808988764,18,89,https://beaker.org/ex/01KZB6MCWY9J00J17ESAGD4YST,0.44,12,100,https://beaker.org/ex/01KZB6MP5A155WSJCKEH9F1G7C,0.1158,0.6003,https://wandb.ai/ai2-llm/oe-general-agents/runs/v6scz2v2,https://beaker.org/ex/01KZ7NVE4N4CJ1QX948933FX4F,
opd-tmax4b-from-tmax9b,allenai/tmax-4b,allenai/tmax-9b,pure_opd,1e-6,60,65536,1,0.1348314606741573,24,89,https://beaker.org/ex/01KZCHX985JGQ2ZMY5Y2SCSVQS,0.4,15,100,https://beaker.org/ex/01KZCHXHR5VST2EM2KYC520P0T,0.1033,0.7179,https://wandb.ai/ai2-llm/oe-general-agents/runs/v6scz2v2,https://beaker.org/ex/01KZ7NVE4N4CJ1QX948933FX4F,
opd-tmax4b-from-tmax9b,allenai/tmax-4b,allenai/tmax-9b,pure_opd,1e-6,80,65536,1,0.19101123595505617,18,89,https://beaker.org/ex/01KZCHXT6ZGW2CNMTMREKZRCVK,0.49,15,100,https://beaker.org/ex/01KZCHY2VMWEGBR6EQZP2AAAX1,0.1126,0.681,https://wandb.ai/ai2-llm/oe-general-agents/runs/v6scz2v2,https://beaker.org/ex/01KZ7NVE4N4CJ1QX948933FX4F,
opd-tmax4b-from-tmax9b,allenai/tmax-4b,allenai/tmax-9b,pure_opd,1e-6,100,65536,1,0.16853932584269662,20,89,https://beaker.org/ex/01KZCXDJNWNYV20GNJH8BG6QM6,0.43,16,100,https://beaker.org/ex/01KZCXDV2AR409C7RSWWCGNDYE,0.0942,0.697,https://wandb.ai/ai2-llm/oe-general-agents/runs/v6scz2v2,https://beaker.org/ex/01KZ7NVE4N4CJ1QX948933FX4F,
opd-tmax4b-from-tmax9b,allenai/tmax-4b,allenai/tmax-9b,pure_opd,1e-6,120,65536,1,0.1797752808988764,24,89,https://beaker.org/ex/01KZCXE3N2EAJ7YYYV6WV8SFHG,0.49,12,100,https://beaker.org/ex/01KZCXEC2ZYRED2Q6J41RE38S1,0.0933,0.7235,https://wandb.ai/ai2-llm/oe-general-agents/runs/v6scz2v2,https://beaker.org/ex/01KZ7NVE4N4CJ1QX948933FX4F,
opd-tmax4b-from-tmax9b,allenai/tmax-4b,allenai/tmax-9b,pure_opd,1e-6,140,65536,1,0.20224719101123595,11,89,https://beaker.org/ex/01KZDPNCX85MB233ZF749MF3R2,0.48,11,100,https://beaker.org/ex/01KZDPNQMETMSHC2R1RJKX4547,0.0998,0.7491,https://wandb.ai/ai2-llm/oe-general-agents/runs/v6scz2v2,https://beaker.org/ex/01KZ7NVE4N4CJ1QX948933FX4F,
opd-tmax4b-from-tmax9b,allenai/tmax-4b,allenai/tmax-9b,pure_opd,1e-6,160,65536,1,0.1797752808988764,21,89,https://beaker.org/ex/01KZDPP2842E52RCF9767TN2EE,0.45,13,100,https://beaker.org/ex/01KZDPPAYCR1BQGQM53ZJVNG16,0.103,0.6463,https://wandb.ai/ai2-llm/oe-general-agents/runs/v6scz2v2,https://beaker.org/ex/01KZ7NVE4N4CJ1QX948933FX4F,
